UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Jan19 ?        00:01:50 /sbin/init splash
root         2     0  0 Jan19 ?        00:00:01 [kthreadd]
root         6     2  0 Jan19 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 Jan19 ?        00:00:10 [ksoftirqd/0]
root         8     2  0 Jan19 ?        00:08:54 [rcu_sched]
root         9     2  0 Jan19 ?        00:00:00 [rcu_bh]
root        10     2  0 Jan19 ?        00:00:00 [migration/0]
root        11     2  0 Jan19 ?        00:00:02 [watchdog/0]
root        12     2  0 Jan19 ?        00:00:00 [cpuhp/0]
root        13     2  0 Jan19 ?        00:00:00 [cpuhp/1]
root        14     2  0 Jan19 ?        00:00:02 [watchdog/1]
root        15     2  0 Jan19 ?        00:00:00 [migration/1]
root        16     2  0 Jan19 ?        00:39:03 [ksoftirqd/1]
root        19     2  0 Jan19 ?        00:00:00 [cpuhp/2]
root        20     2  0 Jan19 ?        00:00:01 [watchdog/2]
root        21     2  0 Jan19 ?        00:00:00 [migration/2]
root        22     2  0 Jan19 ?        00:00:10 [ksoftirqd/2]
root        25     2  0 Jan19 ?        00:00:00 [kdevtmpfs]
root        26     2  0 Jan19 ?        00:00:00 [netns]
root        27     2  0 Jan19 ?        00:00:00 [rcu_tasks_kthre]
root        28     2  0 Jan19 ?        00:00:00 [kauditd]
root        32     2  0 Jan19 ?        00:00:02 [khungtaskd]
root        33     2  0 Jan19 ?        00:00:00 [oom_reaper]
root        34     2  0 Jan19 ?        00:00:00 [writeback]
root        35     2  0 Jan19 ?        00:00:00 [kcompactd0]
root        36     2  0 Jan19 ?        00:00:00 [ksmd]
root        37     2  0 Jan19 ?        00:00:00 [khugepaged]
root        38     2  0 Jan19 ?        00:00:00 [crypto]
root        39     2  0 Jan19 ?        00:00:00 [kintegrityd]
root        40     2  0 Jan19 ?        00:00:00 [kblockd]
root        41     2  0 Jan19 ?        00:00:00 [ata_sff]
root        42     2  0 Jan19 ?        00:00:00 [md]
root        43     2  0 Jan19 ?        00:00:00 [edac-poller]
root        44     2  0 Jan19 ?        00:00:00 [devfreq_wq]
root        45     2  0 Jan19 ?        00:00:00 [watchdogd]
root        48     2  0 Jan19 ?        00:00:39 [kswapd0]
root        49     2  0 Jan19 ?        00:00:00 [kworker/u7:0]
root        50     2  0 Jan19 ?        00:00:00 [ecryptfs-kthrea]
root        92     2  0 Jan19 ?        00:00:00 [kthrotld]
root        93     2  0 Jan19 ?        00:00:00 [acpi_thermal_pm]
root        95     2  0 Jan19 ?        00:00:00 [scsi_eh_0]
root        96     2  0 Jan19 ?        00:00:00 [scsi_tmf_0]
root        97     2  0 Jan19 ?        00:00:00 [scsi_eh_1]
root        98     2  0 Jan19 ?        00:00:00 [scsi_tmf_1]
root       100     2  0 Jan19 ?        00:00:00 [ipv6_addrconf]
root       110     2  0 Jan19 ?        00:00:00 [kstrp]
root       127     2  0 Jan19 ?        00:00:00 [charger_manager]
root       197     2  0 Jan19 ?        00:00:00 [mpt_poll_0]
root       198     2  0 Jan19 ?        00:00:00 [mpt/0]
root       203     2  0 Jan19 ?        00:00:00 [scsi_eh_2]
root       204     2  0 Jan19 ?        00:00:00 [scsi_tmf_2]
root       205     2  0 Jan19 ?        00:00:00 [ttm_swap]
root       206     2  0 Jan19 ?        00:00:00 [irq/16-vmwgfx]
root       209     2  0 Jan19 ?        00:02:53 [kworker/2:1H]
root       279     2  0 Jan19 ?        00:00:37 [jbd2/sda1-8]
root       280     2  0 Jan19 ?        00:00:00 [ext4-rsv-conver]
root       333     2  0 Jan19 ?        00:00:00 [rpciod]
root       334     2  0 Jan19 ?        00:00:00 [xprtiod]
root       343     1  0 Jan19 ?        00:00:12 /lib/systemd/systemd-udevd
root       374     1  0 Jan19 ?        00:00:01 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
systemd+   554     1  0 Jan19 ?        00:00:01 /lib/systemd/systemd-resolved
systemd+   557     1  0 Jan19 ?        00:00:01 /lib/systemd/systemd-timesyncd
root       559     1  0 Jan19 ?        00:00:02 /sbin/rpcbind -f -w
root       681     1  0 Jan19 ?        00:00:00 /usr/bin/VGAuthService
root       687     1  0 Jan19 ?        00:13:39 /usr/bin/vmtoolsd
root       692     1  0 Jan19 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root       698     1  0 Jan19 ?        00:00:26 /usr/lib/udisks2/udisksd
root       708     1  0 Jan19 ?        00:00:37 /usr/sbin/irqbalance --foreground
root       709     1  0 Jan19 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
daemon     710     1  0 Jan19 ?        00:00:00 /usr/sbin/atd -f
root       711     1  0 Jan19 ?        01:04:54 /usr/lib/accountsservice/accounts-daemon
root       713     1  0 Jan19 ?        00:00:56 /lib/systemd/systemd-logind
message+   714     1  0 Jan19 ?        00:03:19 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       737     1  0 Jan19 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       739     1  0 Jan19 ?        00:00:04 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
syslog     754     1  0 Jan19 ?        00:01:09 /usr/sbin/rsyslogd -n
root       755     1  0 Jan19 ?        00:00:00 /usr/sbin/acpid
root       835     1  0 Jan19 ?        00:00:30 /usr/lib/policykit-1/polkitd --no-debug
whoopsie  1165     1  0 Jan19 ?        00:00:00 /usr/bin/whoopsie -f
root      1166     1  0 Jan19 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      1185     1  0 Jan19 ?        00:00:08 /usr/sbin/lightdm
root      1198  1185  0 Jan19 tty7     00:00:12 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1203     1  0 Jan19 ?        00:01:10 /usr/sbin/automount --pid-file /var/run/autofs.pid
avahi     1206     1  0 Jan19 ?        00:00:07 avahi-daemon: running [cse01.local]
avahi     1208  1206  0 Jan19 ?        00:00:00 avahi-daemon: chroot helper
root      1210     1  0 Jan19 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root      1213     1  0 Jan19 ?        00:00:42 /usr/sbin/sshd -D
kernoops  1283     1  0 Jan19 ?        00:00:24 /usr/sbin/kerneloops --test
kernoops  1285     1  0 Jan19 ?        00:00:24 /usr/sbin/kerneloops
root      1307  1185  0 Jan19 ?        00:00:01 lightdm --session-child 16 19
root      1356     1  0 Jan19 ?        00:02:30 /usr/sbin/console-kit-daemon --no-daemon
lightdm   1474  1307  0 Jan19 ?        00:00:00 /bin/sh /usr/lib/lightdm/lightdm-greeter-session /usr/sbin/unity-greeter
lightdm   1557     1  0 Jan19 ?        00:00:01 /usr/bin/dbus-daemon --syslog --fork --print-pid 5 --print-address 7 --session
lightdm   1560  1474  0 Jan19 ?        00:00:28 /usr/sbin/unity-greeter
lightdm   1604     1  0 Jan19 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
lightdm   1626  1604  0 Jan19 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
lightdm   1633     1  0 Jan19 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
lightdm   1638     1  0 Jan19 ?        00:00:00 /usr/lib/gvfs/gvfsd
lightdm   1645     1  0 Jan19 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /var/lib/lightdm/.gvfs -f -o big_writes
lightdm   1655     1  0 Jan19 ?        00:00:00 /usr/lib/dconf/dconf-service
lightdm   1665     1  0 Jan19 ?        00:00:00 nm-applet
lightdm   1670     1  0 Jan19 ?        00:00:08 /usr/lib/unity-settings-daemon/unity-settings-daemon
root      1676  1213  0 Jan31 ?        00:00:00 sshd: fi0037 [priv]
root      1693     1  0 Jan19 ?        00:00:00 /usr/lib/upower/upowerd
root      1696     1  0 Jan19 ?        00:00:05 /usr/lib/packagekit/packagekitd
colord    1709     1  0 Jan19 ?        00:00:00 /usr/lib/colord/colord
root      1716  1185  0 Jan19 ?        00:00:00 lightdm --session-child 15 20
lightdm   1739     1  0 Jan19 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1740     1  0 Jan19 ?        00:00:14 /usr/lib/rtkit/rtkit-daemon
lightdm   1755  1739  0 Jan19 ?        00:00:00 /usr/lib/i386-linux-gnu/pulse/gconf-helper
lightdm   1757     1  0 Jan19 ?        00:00:01 /usr/lib/i386-linux-gnu/gconf/gconfd-2
fi0037    1773  1676  0 Jan31 ?        00:00:00 sshd: fi0037@pts/15
fi0037    1774  1773  0 Jan31 pts/15   00:00:00 -bash
root      1917  1213  0 Jan31 ?        00:00:00 sshd: fi0037 [priv]
root      1918     2  0 Jan19 ?        00:00:00 [nfsiod]
fi0037    1982  1917  0 Jan31 ?        00:00:00 sshd: fi0037@notty
fi0037    1983  1982  0 Jan31 ?        00:00:00 /usr/lib/openssh/sftp-server
root      4190  1213  0 15:54 ?        00:00:00 sshd: pwt0013 [priv]
pwt0013   4331  4190  0 15:54 ?        00:00:00 sshd: pwt0013@pts/11
pwt0013   4332  4331  0 15:54 pts/11   00:00:00 -bash
root      4376  1213  0 15:54 ?        00:00:00 sshd: yak0010 [priv]
yak0010   4540  4376  0 15:54 ?        00:00:00 sshd: yak0010@pts/4
yak0010   4541  4540  0 15:54 pts/4    00:00:00 -bash
statd     4776     1  0 Jan19 ?        00:00:00 /sbin/rpc.statd --no-notify
root      4938     2  0 Jan20 ?        00:00:00 [NFSv4 callback]
root      5757     2  0 16:02 ?        00:00:00 [kworker/u6:0]
root      5814  1213  0 Jan31 ?        00:00:00 sshd: cbc0195 [priv]
cbc0195   5894  5814  0 Jan31 ?        00:00:00 sshd: cbc0195@notty
cbc0195   5895  5894  0 Jan31 ?        00:00:00 /usr/lib/openssh/sftp-server
root      5896  1213  0 Jan31 ?        00:00:00 sshd: cbc0195 [priv]
cbc0195   5956  5896  0 Jan31 ?        00:00:01 sshd: cbc0195@pts/21
cbc0195   5957  5956  0 Jan31 pts/21   00:00:00 -bash
root      6314  1213  0 10:29 ?        00:00:00 sshd: sg0919 [priv]
sg0919    6555  6314  0 10:29 ?        00:00:00 sshd: sg0919@pts/18
sg0919    6556  6555  0 10:29 pts/18   00:00:00 -bash
root      6704  1213  0 16:10 ?        00:00:00 sshd: ji0069 [priv]
ji0069    6777  6704  0 16:10 ?        00:00:00 sshd: ji0069@pts/0
ji0069    6778  6777  0 16:10 pts/0    00:00:00 -bash
root      7579  1213  0 16:14 ?        00:00:00 sshd: aaa0694 [priv]
aaa0694   7648  7579  0 16:14 ?        00:00:00 sshd: aaa0694@notty
aaa0694   7649  7648  0 16:14 ?        00:00:00 /usr/lib/openssh/sftp-server
ji0069    7681  6778  0 16:16 pts/0    00:00:00 ./a.out
root      7693  1213  0 16:17 ?        00:00:00 sshd: aab0309 [priv]
aab0309   7765  7693  0 16:17 ?        00:00:00 sshd: aab0309@pts/1
aab0309   7766  7765  0 16:17 pts/1    00:00:00 -bash
aab0309   7824  7766  0 16:17 pts/1    00:00:00 vi testing.sh
root      8004  1213  0 16:20 ?        00:00:00 sshd: aa1302 [priv]
root      8016  1213  0 16:20 ?        00:00:00 sshd: aa1302 [priv]
aa1302    8075  8004  0 16:20 ?        00:00:00 sshd: aa1302@pts/9
aa1302    8133  8016  0 16:20 ?        00:00:00 sshd: aa1302@notty
aa1302    8134  8075  0 16:20 pts/9    00:00:00 -bash
aa1302    8171  8133  0 16:20 ?        00:00:00 /usr/lib/openssh/sftp-server
root      8173  1213  0 16:20 ?        00:00:00 sshd: ck0340 [priv]
ck0340    8243  8173  0 16:20 ?        00:00:00 sshd: ck0340@notty
